City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tecoanapa,MX,16.5167,-98.75,79.54,72,49,9.04,scattered clouds
80,Darfo,IT,45.8779,10.1812,47.86,75,74,5.53,broken clouds
81,Meulaboh,ID,4.1363,96.1285,77.4,84,100,1.41,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,91,13.87,overcast clouds
83,Kysyl-Syr,RU,63.8986,122.7617,-24.27,97,97,6.76,overcast clouds
84,Barabai,ID,-2.5833,115.3833,80.22,86,99,2.91,light rain
85,Nouadhibou,MR,20.931,-17.0347,65.1,80,94,13.31,overcast clouds
86,Qaanaaq,GL,77.484,-69.3632,-11.67,58,32,7.99,scattered clouds
87,Florencia,IT,43.7667,11.25,53.29,90,75,6.91,broken clouds
88,Yulara,AU,-25.2406,130.9889,87.64,22,0,8.05,clear sky
89,Labuhan,ID,-6.8844,112.2051,82.18,80,100,14.63,overcast clouds
90,Agadez,NE,19.75,10.25,56.37,17,0,5.03,clear sky
91,Severo-Kurilsk,RU,50.6789,156.125,32.16,80,100,9.82,overcast clouds
92,Barrow,US,71.2906,-156.7887,-31.07,97,14,11.05,few clouds
93,Sur,OM,22.5667,59.5289,69.21,65,0,11.07,clear sky
94,Lermontovka,RU,47.1453,134.3383,7.5,88,100,5.68,overcast clouds
95,Sivas,TR,39.7916,37.0019,-2.04,99,63,2.84,broken clouds
96,Beidao,CN,34.5686,105.8933,24.39,85,100,3.06,overcast clouds
97,Samarai,PG,-10.6167,150.6667,85.44,68,93,11.27,overcast clouds
98,Hovd,MN,48.0056,91.6419,-13.68,68,12,3.18,few clouds
99,Lompoc,US,34.6391,-120.4579,62.91,66,0,9.22,clear sky
100,Koufalia,GR,40.7778,22.5719,49.91,88,0,2.42,clear sky
101,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,6.91,light rain
102,East London,ZA,-33.0153,27.9116,71.08,84,99,14.05,overcast clouds
103,Galesong,ID,-5.3166,119.3661,80.62,74,17,10.4,few clouds
104,Viedma,AR,-40.8135,-62.9967,62.04,71,0,10.65,clear sky
105,Constitucion,CL,-35.3333,-72.4167,58.06,83,0,5.97,clear sky
106,Clyde River,CA,70.4692,-68.5914,-30.77,68,0,10.36,clear sky
107,Salamanca,ES,40.8333,-6.0,22.78,60,65,6.87,broken clouds
108,Pevek,RU,69.7008,170.3133,-23.03,98,30,1.01,scattered clouds
109,Galle,LK,6.0367,80.217,79.23,72,99,1.16,overcast clouds
110,Khatanga,RU,71.9667,102.5,-15.99,98,99,9.55,overcast clouds
111,Bethel,US,41.3712,-73.414,27.75,81,35,2.42,scattered clouds
112,Saint George,US,37.1041,-113.5841,53.26,16,0,6.71,clear sky
113,Lloydminster,CA,53.2835,-110.0016,35.82,69,20,14.97,few clouds
114,Baykit,RU,61.67,96.37,-11.78,100,50,3.42,scattered clouds
115,Tuy Hoa,VN,13.0833,109.3,75.36,86,84,5.84,broken clouds
116,Ilhabela,BR,-23.7781,-45.3581,75.79,96,100,3.38,overcast clouds
117,Drayton Valley,CA,53.2168,-114.9854,35.91,85,99,7.52,overcast clouds
118,Pacific Grove,US,36.6177,-121.9166,64.02,72,0,1.99,clear sky
119,Mahebourg,MU,-20.4081,57.7,77.29,83,40,6.91,scattered clouds
120,Carnarvon,AU,-24.8667,113.6333,77.07,41,7,20.71,clear sky
121,Ormara,PK,25.2088,64.6357,70.32,83,16,6.69,few clouds
122,Bitung,ID,1.4451,125.1824,85.05,75,74,10.96,broken clouds
123,Honiton,GB,50.7996,-3.189,44.76,83,9,1.99,clear sky
124,Taoudenni,ML,22.6783,-3.9836,65.59,14,2,10.22,clear sky
125,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,19,3.0,few clouds
126,Juneau,US,58.3019,-134.4197,41.85,99,100,5.01,overcast clouds
127,Ibotirama,BR,-12.1853,-43.2206,70.11,96,100,3.62,overcast clouds
128,Ostrovnoy,RU,68.0531,39.5131,11.84,88,16,19.71,few clouds
129,Talnakh,RU,69.4865,88.3972,-28.37,99,56,0.51,broken clouds
