City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Kruisfontein,ZA,77.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
202,Marsh Harbour,BS,74.82,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
203,Pisco,PE,71.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
206,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
208,Bubaque,GW,78.3,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
209,Manicore,BR,91.67,broken clouds,-5.8092,-61.3003,Hotel Durval
210,Ixtapa,MX,74.43,few clouds,20.7,-105.2,Hotel Plaza Providencia
212,Atambua,ID,74.88,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
216,Kavaratti,IN,78.4,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
217,Port Elizabeth,ZA,80.1,few clouds,-33.918,25.5701,39 On Nile Guest House
222,Taltal,CL,71.47,clear sky,-25.4,-70.4833,Residencial Karime
232,Sao Borja,BR,85.95,clear sky,-28.6606,-56.0044,Hotel Executivo
233,La Asuncion,VE,80.51,broken clouds,11.0333,-63.8628,Colinas de Matasiete
237,Buala,SB,80.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
240,Quelimane,MZ,74.79,light rain,-17.8786,36.8883,Hotel Flamingo
241,Villa Carlos Paz,AR,78.06,clear sky,-31.4241,-64.4978,Monte Carlo vcp
244,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
246,Lorengau,PG,81.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
248,Samarai,PG,81.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
250,Bata,GQ,81.48,clear sky,1.8639,9.7658,Hotel Elik Melen
251,Makakilo City,US,72.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
252,Cidreira,BR,81.48,few clouds,-30.1811,-50.2056,Hotel Castelo
253,Lompoc,US,71.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
